0.000	-0.000	-0.500	-0.000	0.266	-2.488	NaN
10.000	-0.000	0.500	-0.000	NaN	2.487	NaN
20.000	-0.000	-0.500	-0.000	0.017	-2.488	-0.500
20.000	NaN	0.500	NaN	NaN	NaN	NaN
20.000	-0.000	-0.500	-0.000	NaN	2.487	NaN
20.000	NaN	0.500	NaN	NaN	NaN	NaN
20.000	-0.000	-0.500	-0.000	0.266	-2.488	0.500
20.000	-0.000	0.500	NaN	NaN	NaN	NaN
20.000	NaN	-0.500	NaN	NaN	NaN	NaN
20.000	NaN	0.500	NaN	NaN	NaN	NaN
20.000	-0.000	-0.500	-0.000	NaN	NaN	NaN
20.000	-0.000	0.500	NaN	NaN	NaN	NaN
20.000	-0.000	-0.500	-0.000	NaN	NaN	NaN
20.000	NaN	0.500	NaN	NaN	NaN	NaN
20.000	NaN	-0.500	NaN	0.017	2.487	-0.500
20.000	-0.000	0.500	NaN	NaN	NaN	NaN
20.000	-0.000	-0.500	-0.000	NaN	NaN	NaN
20.000	-0.000	0.500	-0.000	0.266	-2.488	NaN
20.000	-0.000	-0.500	-0.000	NaN	2.487	NaN
20.000	-0.000	0.500	NaN	NaN	NaN	NaN
20.000	NaN	-0.500	NaN	NaN	NaN	NaN
0.000	-0.000	0.500	-0.000	0.017	-2.488	0.500
